n_qubits,n_layers,family,sre_mean,sre_std
4,1,clifford,1.5376447013039753e-15,8.663646410452091e-16
4,2,clifford,0.35969917774200455,0.21432445000604347
4,4,clifford,0.85499693552653,0.4744233661192433
4,6,clifford,0.7940896352132162,0.5557226015711048
4,8,clifford,1.3774627248446147,0.6005846087583016
4,10,clifford,1.5928256909052532,0.3780835209092103
4,12,clifford,1.4582086324691772,0.45284617694163737
4,14,clifford,1.748513130346934,0.43174123422751226
4,16,clifford,2.0539585908253986,0.34959306476610785
4,18,clifford,2.0148588975270587,0.3561830913562158
4,20,clifford,1.968932048479716,0.38822350473907574
4,22,clifford,2.1398540417353313,0.2776306763421328
4,24,clifford,2.0974218169848124,0.35602663081533426
4,26,clifford,2.2321647008260093,0.11586419220112275
4,28,clifford,2.2126976172129313,0.15451899491955118
4,30,clifford,2.2325987418492637,0.1462634032847086
4,32,clifford,2.220883512496948,0.17423313901235488
4,34,clifford,2.2361748774846393,0.1119627616265261
4,36,clifford,2.267693106333415,0.11376750098095056
4,38,clifford,2.1993968804677326,0.1304939914817337
4,40,clifford,2.2832708835601805,0.10009747618434575
4,42,clifford,2.2447837829589843,0.10352897184084474
4,44,clifford,2.2167348861694336,0.13713846137627328
4,46,clifford,2.298305877049764,0.12141818867104087
4,48,clifford,2.24190452893575,0.12570452828710071
4,50,clifford,2.2484016021092734,0.13754180777662875
4,52,clifford,2.238436237970988,0.1660761905287692
4,54,clifford,2.272792355219523,0.13609391651258537
4,56,clifford,2.2006035010019938,0.20060598571949587
4,58,clifford,2.2471254189809162,0.11711438775701317
4,60,clifford,2.281497001647949,0.08773479903229292
4,62,clifford,2.265313196182251,0.09501073666712173
4,64,clifford,2.270010789235433,0.12955853585093485
4,66,clifford,2.1928914705912272,0.12937177046578163
4,68,clifford,2.2830091953277587,0.15572314485442287
4,70,clifford,2.2850934664408364,0.10213501295029037
4,72,clifford,2.2390853563944497,0.10483602566058045
4,74,clifford,2.2453439235687256,0.14313976072512472
4,76,clifford,2.258155330022176,0.08077785817229541
4,78,clifford,2.217592883110046,0.15636640808885652
4,80,clifford,2.274741792678833,0.0698603935571939
4,82,clifford,2.285933780670166,0.11327829488260374
4,84,clifford,2.2496601343154907,0.15156217845086825
4,86,clifford,2.2844087441762286,0.09759773498022795
4,88,clifford,2.2806955019632977,0.09593878949507732
4,90,clifford,2.2855257987976074,0.11715639977198576
4,92,clifford,2.2559651056925456,0.1196590226722693
4,94,clifford,2.299151547749837,0.07875276956659791
4,96,clifford,2.2297581513722737,0.17000259257843614
4,98,clifford,2.310228435198466,0.11426307915292783
4,100,clifford,2.258560609817505,0.12532589129246602
4,102,clifford,2.2582007090250653,0.11383724780464786
4,104,clifford,2.2803518613179525,0.14384073496708125
4,106,clifford,2.2321256001790366,0.11106215287335618
4,108,clifford,2.260104004542033,0.11243738599750759
4,110,clifford,2.2280513286590575,0.10030452701275613
