n_qubits,n_layers,family,sre_mean,sre_std
4,1,random,0.2481546364606649,0.2668400291174942
4,2,random,0.43270075062180047,0.4008240745544274
4,4,random,0.7289413689024722,0.5317662109297802
4,6,random,0.8910871488261286,0.5965779059226675
4,8,random,1.0784283608025207,0.6449771869068339
4,10,random,1.1149542166732551,0.681940926187089
4,12,random,1.2701818337764623,0.7367500657612409
4,14,random,1.256538231011613,0.8008209320048036
4,16,random,1.4478772106372553,0.7419128961855406
4,18,random,1.4141405422479978,0.8007418839796856
4,20,random,1.5300893335396957,0.7724214793870589
4,22,random,1.4429578105557344,0.815294210702861
4,24,random,1.6398451924803001,0.7256292442658562
4,26,random,1.5898831494418637,0.8085138577689154
4,28,random,1.573198293700282,0.843075431692882
4,30,random,1.563358338041497,0.8100321393627375
4,32,random,1.6056078236084432,0.8044866822636882
4,34,random,1.776028420802738,0.6854019676924662
4,36,random,1.680156247516695,0.7898309644595535
4,38,random,1.7018250660784542,0.7814734685198929
4,40,random,1.7007928822446723,0.790675437687041
4,42,random,1.7115965064827885,0.796808492710958
4,44,random,1.7083923342278493,0.7924771971561388
4,46,random,1.6024403909114855,0.8764998766166092
4,48,random,1.7831288133375347,0.7691469092676934
4,50,random,1.823236061265426,0.7124109589657461
4,52,random,1.7270921848128948,0.8055919841889607
4,54,random,1.8423770467963603,0.749269384703861
4,56,random,1.796730561078127,0.7753557206476676
4,58,random,1.8815481213852763,0.7365229858725334
4,60,random,1.7866672538247492,0.751160105865082
4,62,random,1.897900085152526,0.7061221052896324
4,64,random,1.8413254491825188,0.7420404602554097
4,66,random,1.901113060212561,0.7259884115196369
4,68,random,1.882669519033017,0.7277020412988858
4,70,random,1.8594832986220717,0.7285878421876874
4,72,random,1.9490048429157052,0.6137653477900791
4,74,random,1.8197790790039914,0.7662970905901493
4,76,random,1.8387846324739179,0.7358036750450954
4,78,random,1.916349777228066,0.7103863362665365
4,80,random,1.8670047762620794,0.729845567986312
4,82,random,1.9058736415393651,0.6823850841031314
4,84,random,1.8886141809927566,0.7328104620458916
4,86,random,1.9522520818561315,0.6874275752708506
4,88,random,1.9069756301811762,0.7228382078323029
4,90,random,1.9026799284423968,0.7332678036948533
4,92,random,1.9802141035135303,0.6364829905607791
4,94,random,1.8859469927155545,0.7396351499140515
4,96,random,1.8891747150264149,0.7195597909981247
4,98,random,1.8375930961467593,0.7678300909654626
4,100,random,1.9482529206414307,0.6900052745251075
